Message,Sentiment Score
"Buy
",0.0
"♥️ **JACKPOT CALL ♥️
",0.0
"
",0.0
"BANK NIFTY 54300 Ce
",0.5319
"
",0.0
"BUY NEAR @ 360-370
",0.0
"
",0.0
"TRGT-- 50 - 80 - 100 - 150 - 200 ++ POITNS 
",0.0
"
",0.0
"SL ---- ❌
",0.0
"
",0.0
"PAPER TRADE  🙏🙏👍👍🥰🥰**
",0.0
"**Banknifty 54400 Ce 
",0.0
"
",0.0
"390  Boom Boom+++**
",0.0
"**Banknifty 54400 Ce 
",0.0
"
",0.0
"385  Boom Boom+++**
",0.0
"**Banknifty 54400 Ce 
",0.0
"
",0.0
"380  Boom Boom+++**
",0.0
"**Banknifty 54400 Ce 
",0.0
"
",0.0
"375  Boom Boom+++**
",0.0
"**Banknifty 54400 Ce 
",0.0
"
",0.0
"370  Boom Boom+++**
",0.0
"**Banknifty 54400 Ce 
",0.0
"
",0.0
"365  Boom Boom+++**
",0.0
"**Banknifty 54400 Ce 
",0.0
"
",0.0
"360  Boom Boom+++**
",0.0
"**Banknifty 54400 Ce 
",0.0
"
",0.0
"355  Boom Boom+++**
",0.0
"**Banknifty 54400 Ce 
",0.0
"
",0.0
"350  Boom Boom+++**
",0.0
"♥️ **JACKPOT CALL ♥️
",0.0
"
",0.0
"BANK NIFTY 54400 Ce
",0.5319
"
",0.0
"BUY NEAR @ 350-355
",0.0
"
",0.0
"TRGT-- 50 - 80 - 100 - 150 - 200 ++ POITNS 
",0.0
"
",0.0
"SL ---- ❌
",0.0
"
",0.0
"PAPER TRADE  🙏🙏👍👍🥰🥰**
",0.0
"**JAI SHREE KRISHNA GOOD MORNING ALL MY  MEMBERS..❤️
",0.4404
"
",0.0
"
",0.0
"WE ARE AVAILABLE FOR YOUR SOLUTION AND HELP TO 
",0.6124
"
",0.0
"FOLLOW ME OUR ALL UPDATE ALWAYS 
",0.0
"
",0.0
"BE READY TODAY FOLLOW ME ♥️👍**
",0.4995
"**Paid Membership Service ❤️❤️**
",0.0
"**Banknifty 500 High Come..❤️❤️
",0.0
"All target done keep booking profit all members**
",0.4404
"**Banknifty 53800 Ce 
",0.0
"
",0.0
"490  Boom Boom+++**
",0.0
"**Banknifty 53800 Ce 
",0.0
"
",0.0
"480  Boom Boom+++**
",0.0
"**Banknifty 53800 Ce 
",0.0
"
",0.0
"470  Boom Boom+++**
",0.0
"**Banknifty 53800 Ce 
",0.0
"
",0.0
"460  Boom Boom+++**
",0.0
"**Banknifty 53800 Ce 
",0.0
"
",0.0
"450  Boom Boom+++**
",0.0
"**Banknifty 53800 Ce 
",0.0
"
",0.0
"445  Boom Boom+++**
",0.0
"**Banknifty 53800 Ce 
",0.0
"
",0.0
"440  Boom Boom+++**
",0.0
"**Banknifty 53800 Ce 
",0.0
"
",0.0
"435  Boom Boom+++**
",0.0
"**Banknifty 53800 Ce 
",0.0
"
",0.0
"430  Boom Boom+++**
",0.0
"**Banknifty 53800 Ce 
",0.0
"
",0.0
